id	t	x	y	z
Trace 427_2	5	-41244.3125	40920.4875	6129.24
Trace 427_2	6	-41246.5875	40912.6875	6125.96
Trace 428	0	-41077.75	40892.375	6138.53
Trace 428	1	-41073.525	40889.775	6138.37
Trace 428	2	-41072.0625	40885.3875	6135.84
Trace 428	3	-41073.525	40881.325	6132.09
Trace 428	4	-41068.8125	40883.925	6129.84
Trace 428	5	-41065.725	40882.7875	6129.24
Trace 428	6	-41061.5	40880.1875	6125.96
Trace 428	7	-41062.15	40878.8875	6124.9
Trace 428	8	-41060.3625	40882.1375	6126.14
Trace 428	9	-41059.3875	40882.4625	6123.55
Trace 428	10	-41060.6875	40882.625	6123.39
Trace 428	11	-41062.6375	40884.0875	6125.42
Trace 428	12	-41060.3625	40884.0875	6123.17
Trace 428	13	-41059.0625	40884.7375	6123.75
Trace 428	14	-41059.55	40885.0625	6123.98
Trace 428	15	-41059.225	40885.7125	6124.39
Trace 428	16	-41059.225	40886.6875	6124.66
Trace 429	0	-40795.4875	40892.05	6138.53
Trace 429	1	-40794.5125	40891.4	6138.37
Trace 429	2	-40790.45	40891.075	6135.84
Trace 429	3	-40786.7125	40890.5875	6132.09
Trace 429	4	-40782.65	40891.2375	6129.84
Trace 429	5	-40781.5125	40890.75	6129.24
Trace 430_1	1	-41059.3875	40822.0125	6138.37
Trace 430_1	2	-41059.225	40820.7125	6135.84
Trace 430_1	3	-41054.1875	40828.675	6132.09
Trace 430_1	4	-41047.2	40826.2375	6129.84
Trace 430_1	5	-41048.825	40826.5625	6129.24
Trace 430_1	6	-41045.0875	40829	6125.96
Trace 430_1	7	-41042.65	40829.1625	6124.9
Trace 430_1	8	-41042.325	40825.5875	6126.14
Trace 430_1	9	-41042.975	40826.4	6123.55
Trace 430_1	10	-41044.6	40825.5875	6123.39
Trace 430_1	11	-41040.8625	40822.0125	6125.42
Trace 430_1	12	-41041.8375	40824.775	6123.17
Trace 430_1	13	-41040.5375	40825.5875	6123.75
Trace 430_1	14	-41038.75	40830.625	6123.98
Trace 431	0	-41164.85	40846.0625	6138.53
Trace 431	1	-41169.075	40843.4625	6138.37
Trace 431	2	-41166.15	40844.6	6135.84
Trace 431	3	-41164.85	40844.1125	6132.09
Trace 431	4	-41156.2375	40845.575	6129.84
Trace 431	5	-41153.6375	40843.95	6129.24
Trace 431	6	-41153.6375	40839.5625	6125.96
Trace 431	7	-41149.9	40842	6124.9
Trace 431	8	-41147.7875	40843.625	6126.14
Trace 431	9	-41148.4375	40842.65	6123.55
Trace 431	10	-41153.3125	40842.4875	6123.39
Trace 431	11	-41147.625	40843.95	6125.42
Trace 431	12	-41146.975	40842.1625	6123.17
Trace 431	13	-41146.8125	40842.65	6123.75
Trace 431	14	-41146.1625	40844.275	6123.98
Trace 431	15	-41145.1875	40845.575	6124.39
Trace 431	16	-41145.1875	40841.675	6124.66
Trace 432	0	-41074.825	40849.6375	6138.53
Trace 432	1	-41075.15	40844.1125	6138.37
Trace 432	2	-41074.175	40842.975	6135.84
Trace 432	3	-41069.625	40841.5125	6132.09
Trace 432	4	-41063.6125	40841.025	6129.84
Trace 432	5	-41057.925	40841.5125	6129.24
Trace 432	6	-41055	40843.1375	6125.96
Trace 432	7	-41055	40842.4875	6124.9
Trace 432	8	-41053.8625	40841.5125	6126.14
Trace 432	9	-41054.35	40842.65	6123.55
Trace 432	10	-41055.325	40842.65	6123.39
Trace 432	11	-41053.5375	40841.8375	6125.42
Trace 432	12	-41054.35	40839.5625	6123.17
Trace 432	13	-41053.375	40838.1	6123.75
Trace 432	14	-41053.05	40842.325	6123.98
Trace 432	15	-41053.7	40839.2375	6124.39
Trace 432	16	-41052.5625	40841.675	6124.66
Trace 433_2	3	-41027.5375	40886.3625	6132.09
Trace 433_2	4	-41023.15	40888.8	6129.84
Trace 433_2	5	-41020.225	40886.6875	6129.24
Trace 433_2	6	-41016.975	40886.3625	6125.96
Trace 433_2	7	-41017.95	40889.125	6124.9
Trace 433_2	8	-41018.1125	40888.9625	6126.14
Trace 433_2	9	-41016.325	40890.425	6123.55
Trace 433_2	10	-41015.025	40890.1	6123.39
Trace 433_2	11	-41013.725	40890.1	6125.42
Trace 434	0	-41038.425	40827.2125	6138.53
Trace 434	1	-41036.9625	40826.4	6138.37
Trace 434	2	-41036.6375	40824.125	6135.84
Trace 434	3	-41032.575	40825.1	6132.09
Trace 434	4	-41024.2875	40826.2375	6129.84
Trace 434	5	-41023.3125	40826.075	6129.24
Trace 434	6	-41024.2875	40826.075	6125.96
Trace 434	7	-41023.475	40822.6625	6124.9
Trace 434	8	-41020.3875	40821.6875	6126.14
Trace 434	9	-41020.7125	40820.0625	6123.55
Trace 434	10	-41021.3625	40823.6375	6123.39
Trace 434	11	-41019.0875	40821.85	6125.42
Trace 434	12	-41019.4125	40823.475	6123.17
Trace 434	13	-41018.4375	40824.9375	6123.75
Trace 434	14	-41018.4375	40824.775	6123.98
Trace 434	15	-41026.4	40829	6124.39
Trace 434	16	-41026.075	40829.975	6124.66
Trace 435	0	-41256.3375	40817.4625	6138.53
Trace 435	1	-41253.0875	40814.2125	6138.37
Trace 435	2	-41247.5625	40813.725	6135.84
Trace 435	3	-41245.2875	40815.35	6132.09
Trace 435	4	-41244.475	40814.7	6129.84
Trace 435	5	-41241.7125	40815.8375	6129.24
Trace 435	6	-41238.625	40816.65	6125.96
Trace 435	7	-41236.025	40817.1375	6124.9
Trace 435	8	-41235.375	40817.4625	6126.14
Trace 435	9	-41234.2375	40817.625	6123.55
Trace 435	10	-41234.5625	40817.4625	6123.39
Trace 435	11	-41233.425	40816.65	6125.42
Trace 435	12	-41230.6625	40816.65	6123.17
Trace 435	13	-41229.2	40814.05	6123.75
Trace 435	14	-41227.4125	40815.025	6123.98
Trace 435	15	-41225.7875	40816	6124.39
Trace 435	16	-41226.7625	40817.1375	6124.66
Trace 436	0	-41393.975	40813.4	6138.53
Trace 436	1	-41388.9375	40816.325	6138.37
Trace 436	2	-41387.9625	40812.9125	6135.84
Trace 436	3	-41382.4375	40814.2125	6132.09
Trace 436	4	-41380	40814.7	6129.84
Trace 436	5	-41379.025	40815.5125	6129.24
Trace 436	6	-41376.9125	40815.8375	6125.96
Trace 436	7	-41374.15	40817.7875	6124.9
Trace 436	8	-41372.85	40816.975	6126.14
Trace 436	9	-41372.6875	40815.5125	6123.55
Trace 436	10	-41373.0125	40817.1375	6123.39
Trace 436	11	-41371.7125	40817.1375	6125.42
Trace 436	12	-41371.55	40817.7875	6123.17
Trace 436	13	-41369.7625	40817.3	6123.75
Trace 436	14	-41370.25	40817.95	6123.98
Trace 436	15	-41369.1125	40818.6	6124.39
Trace 436	16	-41368.4625	40817.4625	6124.66
Trace 438	0	-41108.95	40778.3	6138.53
Trace 438	1	-41107.325	40775.05	6138.37
